A2P,mascomchat let check account balance buy airtime data bundles whatsapp get started save number phonenumbr send hi
A2P,keep lebandla connected share data family friends new lebandla data httpaddr visit httpaddr subscribe
A2P,chakwe hamtech friend commented post httpaddr
A2P,mpheletsa airtime ga wa tsenya data saying create social account
A2P,yanza bmane kago added video httpaddr
A2P,dia dlamini new facebook friend suggestion httpaddr
A2P,waitsi pelo yame bothoko gore kene ke letsa osa nkarabe ke bata gota go lala ko go httpaddr ona sepe le nna tota
A2P,ga ka rata cover photo yago mo fb le di commnt tsa ten ne ka amega bt go ta siama gone mme le ratana wish lon lastin httpaddr nyt
A2P,blessing messages new notifications facebook httpaddr
A2P,yessing new notifications friend requests facebook httpaddr
A2P,dumela nkemi ke filwe mogala ke innocent lefatshe ke kopa ntirele permit ke ya ftwn ke na le seemo se se httpaddr go httpaddr taboka httpaddr tshaba go go leletsa ka keta go thodia phake
A2P,lekoto group updates new notifications facebook httpaddr
A2P,maseka new friend suggestion facebook httpaddr
A2P,hello boago ke kopa tle bulele ngwanyana wa mozimbabwe tlile go cleaner jarata mo ree notlele gate eo ga ntse feela mo jarateng ga fetsa ye go notlela gate eo ona le go repisa chain ya teng httpaddr beile dijo tsa dintsa ka fa morago ga teraka
A2P,onalethata moitshepi new friend suggestion facebook httpaddr
A2P,dilwana tsa ntlo ra di kgaogana hv paying rent ka madi nkabong ke rekile malao httpaddr ga nkake ka tswa fela
A2P,dumelang ke kopa mpuele le sekgabo ka go nthusa ngwana ke sale ke godisa ngwana kele nosi go fitha gola tsena sekolo kesa itse gore sekgabo httpaddr ke tisitse ngwana ntse gaa nthuse kegomoditswe kwala form gaise duele sekolo ragwe ate ota romela madi gake kea mo gakolla tima mogala ke bontle
A2P,meeting pm gompieno go tlhokwa gore batlhanka botlhe ba bo ba le teng notre fela jaaka nako tse tsotlhe go tla nna le molaetsa wa botlhokwa go baakanyetsa general meeting httpaddr moreri ba lona
A2P,dumilani oldlady ke kopa thuso ya gago please please ke kopa mpatlele ke tla go neelwa mmabaisana sena go nneela please le fa ele ko go sethunya send orange money church httpaddr urgent
A2P,unknown number
A2P,new messages mascom network call abroad
A2P,morning dr ke mme wa bane tsile koo ke dira ewallet ya deposit ya httpaddr waaruka kandetu september
A2P,dumelang ke kopa le ntseele bolao bomo raserura botla kaha sideng tsa httpaddr distance epe telle please ka kopa
A2P,emjay friend shared post httpaddr
A2P,siyabonga comfort new facebook friend suggestion httpaddr
A2P,waboraro messages group update facebook httpaddr
A2P,bona kegore kutlwa bothoko ntobela dilo tseedinwe mo latsing ano bata eng ga bateng ne httpaddr waitse go ka go rata mare wena ga ke go thalo
A2P,kante ako ompolele gore mathata agago ke eng oa ikutwa esale osimolotse tsatsi la fridge go fithela tsatsileno kana tota gake rate dikgang nna kea kopa httpaddr bona gore obata kego araba fa ona le kgan lenna othamalale ontshe bana moten le dikoloi tseo tse resaitsen di palo tsatsone fa obona ke diditse kea bo ke sa bate ga nke ogakololwa
A2P,go ratana kele sa bue sentle le kgaogane lego mpua maswe httpaddr bolele feke atla ale betsa ke bone gre lthoka ko le tshamekelang teng lona la bo
A2P,masud friend requests new notifications facebook httpaddr
A2P,wakkaso new friend suggestion facebook httpaddr
A2P,stux new friend suggestion facebook httpaddr
A2P,barry berry cherry new notifications friend requests facebook httpaddr
